Date,Value
200001,58.4
200002,59.1
200003,58.3
200004,62.5
200005,64.7
200006,68.3
200007,69.3
200008,72.2
200009,70.6
200010,65.3
200011,58.5
200012,58.2
200101,54.9
200102,55
200103,59
200104,58.7
200105,63.8
200106,67.7
200107,69.1
200108,69.7
200109,68.4
200110,66.5
200111,61.5
200112,55.6
200201,55.8
200202,57.6
200203,57.8
200204,59.7
200205,62
200206,64.9
200207,68
200208,69
200209,70.2
200210,64.4
200211,63.6
200212,56.9
200301,61.8
200302,59.2
200303,60.4
200304,60
200305,62.5
200306,64.3
200307,70.2
200308,72.8
200309,70
200310,67.9
200311,60.4
200312,56.5
200401,56.4
200402,56.3
200403,62.2
200404,64
200405,68.1
200406,67.4
200407,71.6
200408,70.4
200409,72.2
200410,64.9
200411,59.7
200412,57.3
200501,58.4
200502,59.4
200503,60.6
200504,61.4
200505,65
200506,66
200507,69.5
200508,70.6
200509,68.1
200510,65.5
200511,62.4
200512,58
200601,56.6
200602,57.9
200603,56.8
200604,61.5
200605,64.3
200606,70.4
200607,75.9
200608,72.7
200609,69.8
200610,65.4
200611,63
200612,56.4
200701,54.1
200702,57.5
200703,59.9
200704,59.8
200705,63
200706,65.3
200707,69.8
200708,73.3
200709,69.5
200710,66.7
200711,61.2
200712,54.2
200801,54.4
200802,55.6
200803,58.9
200804,61.8
200805,63.8
200806,68.3
200807,69.5
200808,72.6
200809,71.2
200810,69.6
200811,66.2
200812,56.2
200901,61
200902,57.8
200903,58.1
200904,62.8
200905,64.7
200906,66.1
200907,71.5
200908,72.6
200909,73
200910,66.4
200911,62.2
200912,57.2
201001,58.4
201002,58.3
201003,59.2
201004,60.7
201005,62
201006,63.8
201007,66.9
201008,68.4
201009,68.6
201010,67.9
201011,62.3
201012,58.8
201101,60.2
201102,57.6
201103,60.9
201104,63.6
201105,64.7
201106,65.4
201107,70
201108,69.1
201109,68.8
201110,65.6
201111,60.2
201112,55.5
201201,58.2
201202,57.9
201203,58.2
201204,61.1
201205,63.8
201206,65.1
201207,68.7
201208,73.7
201209,74.8
201210,69.1
201211,62.2
201212,57.4
201301,55.8
201302,56.3
201303,60.1
201304,61.8
201305,65.9
201306,66.6
201307,70.3
201308,70.7
201309,71.5
201310,66
201311,63.8
201312,59.4
201401,61.3
201402,61.2
201403,64.1
201404,65.2
201405,69.5
201406,68.4
201407,73.7
201408,73.8
201409,75.6
201410,71.8
201411,65.6
201412,60.5
201501,60.8
201502,63.1
201503,66.6
201504,65.8
201505,64
201506,68.8
201507,72.4
201508,75.1
201509,77.2
201510,74.4
201511,63.3
201512,58.1
201601,58.5
201602,63.9
201603,62.7
201604,65.5
201605,65
201606,68.9
201607,70.9
201608,72.8
201609,72
201610,70.6
201611,65.8
201612,58.9
201701,57.9
201702,59.6
201703,62.7
201704,65.3
201705,64.9
201706,67.7
201707,73
201708,73.1
201709,72.8
201710,71.1
201711,65.1
201712,60.2
201801,61.4
201802,59.4
201803,60.8
201804,63.5
201805,63.6
201806,67.5
201807,75.1
201808,78.1
201809,71.9
201810,69.2
201811,65.6
201812,59.5
201901,58.5
201902,55.3
201903,62.6
201904,64.6
201905,63.3
201906,67.2
201907,70.5
201908,71.6
201909,73.3
201910,68.9
201911,63.4
201912,58.4
202001,58.1
202002,59.4
202003,59.8
202004,64
202005,67.4
202006,68.5
202007,71.6
202008,74.4
202009,74.4
202010,71.3
202011,62.1
202012,59.2
202101,58.6
202102,58.9
202103,57.4
202104,63.7
202105,63.6
202106,67.3
202107,71.3
202108,73
202109,72.4
202110,66.8
202111,64.9
202112,57.5
202201,59.6
202202,59.8
202203,61.1
202204,64.3
202205,64.3
202206,68.8
202207,70
202208,74.6
202209,76.2
202210,70.5
202211,60.5
202212,57.4
202301,56.3
202302,55.4
